,expected,output,output disposal,probability,url
Toaster,Electronics Recycling,Toaster,Electronics Recycling,0.9874505996704102,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Toaster_from_Hungary.JPG/723px-Toaster_from_Hungary.JPG?20071208194048
Toilet Brush,Regular Trash,Toilet Brush,Regular Trash,0.9995506405830383,https://cdn.pixabay.com/photo/2014/01/13/13/50/toilet-brush-243459_1280.jpg
Toilet Paper Rolls,Recycling,Toilet Paper Rolls,Recycling,0.6867583990097046,https://images.pexels.com/photos/3964139/pexels-photo-3964139.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2
Toothbrushes,Regular Trash,Toothbrushes,Regular Trash,0.8843949437141418,https://www.publicdomainpictures.net/pictures/50000/nahled/toothbrush.jpg
Toothpaste Tube,Regular Trash,Toothpaste Tube,Regular Trash,0.973181426525116,https://upload.wikimedia.org/wikipedia/commons/a/a8/Tandpasta.jpg
Toy Boxes,Regular Trash,Toy Boxes,Regular Trash,0.5249462127685547,https://p1.pxfuel.com/preview/48/195/713/toy-car-toy-box-mini.jpg
Trash Compactor,Regular Trash,Trash Compactor,Regular Trash,0.8379581570625305,https://upload.wikimedia.org/wikipedia/commons/4/4f/Haymarket_trash_compactors.JPG
Tupperware,Regular Trash,Tupperware,Regular Trash,0.9428437352180481,https://upload.wikimedia.org/wikipedia/commons/2/2f/Tupperware-PP.jpg
Vinyl Records,Reuse,Vinyl Records,Reuse,0.8394136428833008,https://upload.wikimedia.org/wikipedia/commons/b/b1/Vinyl_record_LP_10inch.JPG
Vinyl Siding,Private Disposal,Vinyl Siding,Private Disposal,0.9962981343269348,https://c.pxhere.com/photos/a7/e4/michaelpetrila_beach_cabin_plant-1616830.jpg!d
Water Filters,Regular Trash,Water Filters,Regular Trash,0.9595767855644226,https://recollect-images.global.ssl.fastly.net/api/image/500/material.default.water_filters.svg
Yogurt Tubs,Recycling,Yogurt Tubs,Recycling,0.6917614340782166,https://upload.wikimedia.org/wikipedia/commons/2/2a/DLBA_Yogurt.jpg
Ziplock Bags,Regular Trash,Ziplock Bags,Regular Trash,0.9454370737075806,https://pixnio.com/free-images/2019/01/21/2019-01-21-13-04-57.jpg
